,Name,City,MinPrice,MaxPrice,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,Payment_Method
493,Auberge_Grand'Maison,Mûr-de-Bretagne,61,77,Traditional Cuisine,-2.9869249,48.201112,33296285110.0,https://guide.michelin.com/en/bretagne/mr-de-bretagne/restaurant/auberge-grand-maison,https://www.auberge-grand-maison.com/,1 MICHELIN Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
494,Auberge_de_l'Abbaye,Ambronay,50,105,Modern Cuisine,5.3606423,46.0073829,33474464254.0,https://guide.michelin.com/en/auvergne-rhone-alpes/ambronay/restaurant/auberge-de-l-abbaye65232,https://www.aubergedelabbaye-ambronay.com/fr/,1 MICHELIN Star,"American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
495,Il_Carpaccio,Paris,150,150,Italian,2.29997,48.87577,33142998812.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/il-carpaccio300866,https://www.leroyalmonceau.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Valet parking,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
496,Pure_&_V,Nice,90,130,Modern Cuisine,7.2540623,43.6965441,33619886890.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/nice/restaurant/pure-v,,1 MICHELIN Star,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
497,Frenchie,Paris,125,125,Modern Cuisine,2.3478539,48.867722,33140399619.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/frenchie262795,http://www.frenchie-restaurant.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
498,L'Atelier_du_Peintre,Colmar,45,115,"Creative, Modern Cuisine",7.3581438,48.0765551,33389295157.0,https://guide.michelin.com/en/grand-est/colmar/restaurant/l-atelier-du-peintre,https://www.atelier-peintre.fr/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
499,Lait_Thym_Sel,Angers,92,92,Creative,-0.56148,47.47502,33241720864.0,https://guide.michelin.com/en/pays-de-la-loire/angers/restaurant/lait-thym-sel,https://www.laitthymsel.fr/,1 MICHELIN Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
500,Tour_d'Argent,Paris,110,380,Modern Cuisine,2.3549236,48.8498353,33143542331.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/tour-d-argent,https://tourdargent.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
501,Les_Trois_Soleils_de_Montal,Saint-Céré,38,98,Modern Cuisine,1.8642524,44.8626981,33565101616.0,https://guide.michelin.com/en/occitanie/saint-cr/restaurant/les-trois-soleils-de-montal,https://www.3soleils.fr/,1 MICHELIN Star,"Air conditioning,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Terrace,Visa credit card,Wheelchair access","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
502,Auberge_des_Templiers,Boismorand,64,160,"Modern Cuisine, Creative",2.7394904,47.80058,33238318001.0,https://guide.michelin.com/en/centre-val-de-loire/boismorand/restaurant/auberge-des-templiers,https://www.lestempliers.com/fr/,1 MICHELIN Star,"Air conditioning,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
